Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
5.57,-19.52133333,-16.56166667,-41.780588
5.58,-19.548,-16.603,-41.835072
5.59,-19.57466667,-16.64433333,-41.89249
5.6,-19.605,-16.687,-41.9516
5.61,-19.639,-16.731,-42.02487
5.62,-19.673,-16.775,-42.10454
5.63,-19.7105,-16.8205,-42.164346
5.64,-19.7515,-16.8675,-42.217288
5.65,-19.7925,-16.9145,-42.269
5.66,-19.83716667,-16.96233333,-42.3204
5.67,-19.8855,-17.011,-42.393262
5.68,-19.93383333,-17.05966667,-42.469848
5.69,-19.98644828,-17.11003448,-42.519872
5.7,-20.04334483,-17.16210345,-42.56716
5.71,-20.10024138,-17.21417241,-42.605062
5.72,-20.1611,-17.2653,-42.642912
5.73,-20.2246,-17.3158,-42.701508
5.74,-20.2881,-17.3663,-42.75798
5.75,-20.3516,-17.4168,-42.78625
5.76,-20.4208,-17.4673,-42.818232
5.77,-20.4938,-17.5178,-42.876314
5.78,-20.5668,-17.5683,-42.928784
5.79,-20.6398,-17.6188,-42.955512
5.8,-20.71930769,-17.66869231,-42.985
5.81,-20.80315385,-17.71817949,-43.02355
5.82,-20.887,-17.76766667,-43.058252
5.83,-20.97084615,-17.81715385,-43.083438
5.84,-21.05935,-17.86315,-43.105984
5.85,-21.14985,-17.90765,-43.12346
5.86,-21.24035,-17.95215,-43.142772
5.87,-21.33085,-17.99665,-43.164874
5.88,-21.4266,-18.0373,-43.17468
5.89,-21.5246,-18.0763,-43.16954
5.9,-21.6226,-18.1153,-43.17714
5.91,-21.7206,-18.1543,-43.197186
5.92,-21.82520513,-18.18825641,-43.19736
5.93,-21.93264103,-18.22005128,-43.18194
5.94,-22.04007692,-18.25184615,-43.178844
5.95,-22.14751282,-18.28364103,-43.18347
